Time,F-5 
0.913014708,6.48E-10
3.73260186,-0.21229642
6.40993973,0.0268023229
9.08053792,0.162042531
11.7595738,0.353869978
14.4411587,0.149215879
17.1201782,0.29925737
19.7922713,0.293260907
22.4639332,0.390057894
25.1350161,0.35069282
27.8168645,0.573421299
30.4875117,0.38483255
33.172849,0.497945469
35.847761,0.504965367
38.5241565,0.557486007
41.1988113,0.622955795
43.896907,0.397709133
46.5734339,0.541501346
49.2459539,0.518423623
51.9197324,0.581625237
54.5871326,0.505014007
57.2484779,0.58877983
59.9076894,0.639273164
62.5758441,0.780136654
65.2455622,0.607330482
67.9058431,0.617701597
70.5684915,0.578032416
73.2359578,0.741873122
75.9076102,0.723273849
78.578766,0.527426605
81.2466151,0.55907094
83.9138218,0.70069975
86.5781619,0.892477808
89.2419449,0.467408375
91.9057186,0.695829004
94.5859979,0.707666042
97.2934672,0.416888095
99.9627427,0.79894872
102.638339,0.694827639
105.314738,0.950631628
107.978013,0.766643297
110.645795,1.14230377
113.311196,1.01129861
115.978597,0.861494946
118.638002,0.675011086
121.30041,0.673447531
123.964498,0.555597333
126.630087,0.902762382
129.297367,1.1288442
131.961333,0.494626181
134.623362,0.768748423
137.287451,0.914960723
139.947852,1.00844947
142.610817,1.06899347
145.276164,1.06197296
147.944317,0.966240413
150.614717,1.0101816
153.2745,1.09287236
155.944271,1.11918641
158.618115,1.00949179
161.278772,0.948623002
163.94242,1.11837387
166.624703,0.891648032
169.297734,0.968942534
171.962069,1.0036538
174.634597,1.10803363
177.299376,1.19891309
179.961407,0.856213754
182.629441,1.0109115
185.303523,0.96667247
187.973428,0.885681858
190.637643,1.21259581
193.301424,1.1553009
195.961016,0.92493267
198.626542,0.911726455
201.293195,0.992741121
203.957847,1.16556117
206.622001,1.15178777
209.290474,1.03207149
211.960808,1.11005554
214.62771,1.06411965
217.29849,1.01292026
219.957331,1.1254868
222.622608,1.31281068
225.291011,1.05842864
227.959849,1.28444155
230.624692,0.991307799
233.291846,1.25224628
235.959875,1.08419503
238.628593,1.10968689
241.293495,1.23263161
243.961832,0.979213913
246.626862,0.625194013
249.297264,1.31302217
251.963983,1.37271308
254.63014,1.19570503
257.298355,1.29702336
259.967066,1.17291743
262.631717,1.1199832
265.301252,1.07060812
267.980464,1.38107036
270.644933,1.33527661
273.31102,0.972909146
275.973485,1.28822163
278.64395,1.39196993
281.318419,1.42804564
283.986319,0.958628607
286.656785,1.27385883
289.323813,1.35109596
291.99303,1.09755955
294.659182,1.1830472
297.326337,1.1681525
299.996053,1.39317764
302.662017,1.01226159
305.324926,1.57634948
307.98858,1.38249876
310.654852,1.39033928
313.325134,1.27135903
316.000912,1.38825663
318.669249,1.11875467
321.336908,1.04229794
324.006494,1.22109441
326.673145,1.42303869
329.342991,1.43234108
332.02777,1.24942601
334.697233,1.31229045
337.362198,1.22705821
340.034791,1.20865794
342.707134,1.42213819
345.376906,1.50272112
348.056318,1.32075731
350.899343,1.6688958
353.567369,1.314694
356.242331,1.75036766
